Date,Open,High,Low,Close,Adj Close,Volume
2020-01-15,3266.540039,3276.000000,3252.020020,3256.979980,3256.979980,245144400
2020-01-16,3256.830078,3280.360107,3255.629883,3278.000000,3278.000000,270571600
2020-01-17,3282.850098,3283.889893,3269.989990,3281.030029,3281.030029,202760000
2020-01-20,3280.949951,3283.060059,3270.800049,3280.090088,3280.090088,172691700
2020-01-21,3271.560059,3275.149902,3232.989990,3247.169922,3247.169922,272436300
2020-01-22,3242.600098,3258.959961,3240.169922,3253.929932,3253.929932,202913300
2020-01-23,3251.840088,3259.899902,3231.370117,3234.560059,3234.560059,313846600
2020-01-24,3235.360107,3242.500000,3230.320068,3240.020020,3240.020020,192710800
2020-01-28,3172.729980,3190.080078,3144.100098,3181.250000,3181.250000,461901000
2020-01-29,3181.189941,3193.840088,3172.659912,3182.570068,3182.570068,207466100
2020-01-30,3183.199951,3191.379883,3152.510010,3170.679932,3170.679932,246419300
2020-01-31,3173.389893,3183.459961,3144.330078,3153.729980,3153.729980,283957200
2020-02-03,3131.020020,3139.360107,3112.330078,3116.310059,3116.310059,240928600
2020-02-04,3135.500000,3166.709961,3132.510010,3156.570068,3156.570068,251277700
2020-02-05,3163.669922,3203.040039,3156.860107,3200.129883,3200.129883,247570300
2020-02-06,3215.370117,3231.969971,3206.919922,3231.550049,3231.550049,284410900
2020-02-07,3214.179932,3219.800049,3170.570068,3181.479980,3181.479980,322500500
2020-02-10,3142.469971,3173.320068,3137.810059,3163.149902,3163.149902,203859800
2020-02-11,3168.149902,3195.500000,3166.989990,3175.570068,3175.570068,233884800
2020-02-12,3182.379883,3223.370117,3175.250000,3223.370117,3223.370117,309948500
2020-02-13,3230.280029,3232.899902,3211.870117,3220.090088,3220.090088,234275500
2020-02-14,3216.360107,3233.860107,3212.060059,3220.030029,3220.030029,242145500
2020-02-17,3220.659912,3223.429932,3210.000000,3213.000000,3213.000000,192026300
2020-02-18,3203.379883,3203.620117,3191.149902,3196.629883,3196.629883,198579800
2020-02-19,3199.219971,3222.610107,3194.350098,3213.709961,3213.709961,204087800
2020-02-20,3217.540039,3221.689941,3190.989990,3198.679932,3198.679932,206574200
2020-02-21,3189.189941,3200.729980,3179.370117,3181.030029,3181.030029,230052300
2020-02-24,3159.639893,3166.010010,3140.389893,3142.199951,3142.199951,285617700
2020-02-25,3145.010010,3171.739990,3142.199951,3158.239990,3158.239990,255301500
2020-02-26,3131.639893,3136.439941,3117.520020,3117.520020,3117.520020,309471500
2020-02-27,3110.229980,3114.149902,3086.389893,3111.699951,3111.699951,315229200
2020-02-28,3043.669922,3056.560059,3008.459961,3011.080078,3011.080078,552747300
2020-03-02,2988.350098,3026.229980,2987.409912,3007.719971,3007.719971,358472600
2020-03-03,3032.350098,3042.770020,3015.550049,3019.560059,3019.560059,339606300
2020-03-04,3015.199951,3031.929932,3003.090088,3025.030029,3025.030029,373878700
2020-03-05,3037.070068,3047.790039,3016.330078,3018.270020,3018.270020,426418600
2020-03-06,2999.229980,3000.139893,2959.159912,2960.979980,2960.979980,336208700
2020-03-09,2891.590088,2891.649902,2772.699951,2782.370117,2782.370117,0
2020-03-10,2766.189941,2853.689941,2756.879883,2832.540039,2832.540039,0
2020-03-11,null,null,null,null,null,null
2020-03-12,2751.679932,2752.639893,2666.050049,2678.639893,2678.639893,0
2020-03-13,null,null,null,null,null,null
2020-03-16,2557.800049,2590.909912,2495.770020,2495.770020,2495.770020,491526400
2020-03-17,2469.729980,2517.100098,2454.530029,2454.530029,2454.530029,588144700
2020-03-18,2472.530029,2532.389893,2420.860107,2425.620117,2425.620117,576383300
2020-03-19,2415.360107,2441.100098,2303.899902,2311.000000,2311.000000,608095800
2020-03-20,2314.780029,2433.139893,2312.530029,2410.739990,2410.739990,628761400
2020-03-23,2274.379883,2274.379883,2208.419922,2233.479980,2233.479980,111850600
2020-03-24,2292.570068,2372.350098,2291.250000,2362.050049,2362.050049,469575500
2020-03-25,2429.570068,2510.760010,2390.709961,2505.469971,2505.469971,545558100
2020-03-26,2519.300049,2519.320068,2433.429932,2487.560059,2487.560059,511193700
2020-03-27,2545.639893,2561.370117,2511.209961,2528.760010,2528.760010,487699200
2020-03-30,2479.979980,2480.449951,2409.689941,2416.239990,2416.239990,403297900
2020-03-31,2454.169922,2487.649902,2454.169922,2481.229980,2481.229980,511031400
2020-04-01,2468.169922,2481.439941,2419.100098,2440.270020,2440.270020,363877000
2020-04-02,2402.429932,2453.810059,2390.879883,2453.030029,2453.030029,405555200
2020-04-03,2451.469971,2454.790039,2380.840088,2389.290039,2389.290039,456374200
2020-04-06,2429.580078,2477.310059,2411.270020,2470.590088,2470.590088,384427200
2020-04-07,2506.250000,2571.889893,2502.330078,2571.889893,2571.889893,492081200
2020-04-08,2528.310059,2551.649902,2507.129883,2539.439941,2539.439941,318915900
2020-04-09,2564.840088,2596.189941,2559.270020,2571.320068,2571.320068,346484700
2020-04-13,2561.409912,2572.500000,2544.899902,2567.250000,2567.250000,163623700
2020-04-14,2570.729980,2647.500000,2566.090088,2634.570068,2634.570068,351096000
2020-04-15,2646.909912,2650.520020,2591.159912,2605.560059,2605.560059,369997800
2020-04-16,2581.449951,2635.179932,2581.040039,2612.250000,2612.250000,296993300
2020-04-17,2661.280029,2671.580078,2609.139893,2614.600098,2614.600098,398929400
2020-04-20,2622.669922,2627.560059,2592.949951,2597.850098,2597.850098,244908500
2020-04-21,2591.979980,2601.149902,2551.919922,2551.919922,2551.919922,351561100
2020-04-22,2530.969971,2556.050049,2507.830078,2550.040039,2550.040039,351932200
2020-04-23,2549.870117,2563.120117,2539.840088,2542.370117,2542.370117,263707100
2020-04-24,2530.030029,2533.750000,2501.580078,2518.159912,2518.159912,299499900
2020-04-27,2525.600098,2562.350098,2525.600098,2549.399902,2549.399902,245348400
2020-04-28,2559.870117,2562.949951,2532.239990,2562.949951,2562.949951,328809900
2020-04-29,2561.070068,2579.270020,2554.770020,2574.729980,2574.729980,267659600
2020-04-30,2600.010010,2633.919922,2592.610107,2624.229980,2624.229980,536545700
2020-05-04,2555.669922,2575.139893,2536.629883,2563.689941,2563.689941,349485700
2020-05-05,2579.100098,2595.129883,2572.360107,2572.360107,2572.360107,220314200
2020-05-06,2566.689941,2608.010010,2565.939941,2591.600098,2591.600098,294626700
2020-05-08,2600.379883,2602.429932,2579.360107,2591.879883,2591.879883,330465700
2020-05-11,2597.850098,2611.739990,2590.659912,2611.310059,2611.310059,260504400
2020-05-12,2582.550049,2590.510010,2576.459961,2587.810059,2587.810059,241063400
2020-05-13,2573.709961,2584.169922,2567.449951,2572.010010,2572.010010,637426800
2020-05-14,2546.639893,2551.000000,2521.469971,2522.310059,2522.310059,510416400
2020-05-15,2535.989990,2546.340088,2516.659912,2523.550049,2523.550049,522395500
2020-05-18,2526.969971,2551.629883,2524.659912,2539.280029,2539.280029,250959800
2020-05-19,2583.540039,2596.409912,2579.610107,2581.330078,2581.330078,353410500
2020-05-20,2583.370117,2587.159912,2555.500000,2561.939941,2561.939941,297329100
